"jira_key","summary ","id","parent_key","parent_summary","parent_id","issue_type"
"VIDEO-814","Eco-Friendly & Sustainable Living","11906","","","",""
"VIDEO-1183","Camera A Reel 1","12345","VIDEO-814","Eco-Friendly & Sustainable Living","11906","Editorial Assets"
"VIDEO-1184","Camera B Reel 1","12346","VIDEO-814","Eco-Friendly & Sustainable Living","11906","Editorial Assets"
"VIDEO-1185","Camera C Reel 1","12347","VIDEO-814","Eco-Friendly & Sustainable Living","11906","Editorial Assets"
"VIDEO-1186","Camera A Reel 2","12348","VIDEO-814","Eco-Friendly & Sustainable Living","11906","Editorial Assets"
"VIDEO-1187","Camera B Reel 2","12349","VIDEO-814","Eco-Friendly & Sustainable Living","11906","Editorial Assets"
"VIDEO-1188","Camera C Reel 2","12350","VIDEO-814","Eco-Friendly & Sustainable Living","11906","Editorial Assets"
"VIDEO-878","How to Have an Eco-Friendly Period","12040","VIDEO-814","Eco-Friendly & Sustainable Living","11906","Editorial Assets"
"VIDEO-879","What Are the 3 R's","12041","VIDEO-814","Eco-Friendly & Sustainable Living","11906","Editorial Assets"
"VIDEO-880","What Bpa Is & How to Avoid It","12042","VIDEO-814","Eco-Friendly & Sustainable Living","11906","Editorial Assets"
"VIDEO-881","How to Make Your Business Eco-friendly","12043","VIDEO-814","Eco-Friendly & Sustainable Living","11906","Editorial Assets"
"VIDEO-882","Top 3 Products Every Home Should Have","12044","VIDEO-814","Eco-Friendly & Sustainable Living","11906","Editorial Assets"
"VIDEO-883","Top 7 Ways to Conserve Power & Water","12045","VIDEO-814","Eco-Friendly & Sustainable Living","11906","Editorial Assets"
"VIDEO-884","How to Make Electronics Eco-friendly","12046","VIDEO-814","Eco-Friendly & Sustainable Living","11906","Editorial Assets"
"VIDEO-886","Top Green Cleaning Supplies","12048","VIDEO-814","Eco-Friendly & Sustainable Living","11906","Editorial Assets"
"VIDEO-887","4 Ways to Make Holidays Eco-friendly","12049","VIDEO-814","Eco-Friendly & Sustainable Living","11906","Editorial Assets"
"VIDEO-888","What Is Sustainable Living?","12050","VIDEO-814","Eco-Friendly & Sustainable Living","11906","Editorial Assets"
"VIDEO-889","How to Make Your Laundry Eco-friendly","12051","VIDEO-814","Eco-Friendly & Sustainable Living","11906","Editorial Assets"
"VIDEO-890","5 Ways to Have an Eco-friendly Pregancy","12052","VIDEO-814","Eco-Friendly & Sustainable Living","11906","Editorial Assets"
"VIDEO-892","What Can I Recycle?","12054","VIDEO-814","Eco-Friendly & Sustainable Living","11906","Editorial Assets"
"VIDEO-893","2 Easy Ways to Green Your Child's Lunch","12055","VIDEO-814","Eco-Friendly & Sustainable Living","11906","Editorial Assets"
"VIDEO-896","How to have the Ultimate Eco-Friendly Baby Shower and Registry","12058","VIDEO-814","Eco-Friendly & Sustainable Living","11906","Editorial Assets"
"VIDEO-897","How to Green Your Wardrobe","12059","VIDEO-814","Eco-Friendly & Sustainable Living","11906","Editorial Assets"
"VIDEO-901","How to be Green and Glamourous (How to Green Your Beauty Routine)","12063","VIDEO-814","Eco-Friendly & Sustainable Living","11906","Editorial Assets"
"VIDEO-902","Tips for Living Green in the City","12064","VIDEO-814","Eco-Friendly & Sustainable Living","11906","Editorial Assets"
"VIDEO-903","How to have an Eco-Friendly Diet","12065","VIDEO-814","Eco-Friendly & Sustainable Living","11906","Editorial Assets"
"VIDEO-904","Best Ways for the Whole Family to Go Green","12066","VIDEO-814","Eco-Friendly & Sustainable Living","11906","Editorial Assets"
"VIDEO-905","How to Throw an Eco Friendly Party for Any Occasion","12067","VIDEO-814","Eco-Friendly & Sustainable Living","11906","Editorial Assets"
"VIDEO-906","Top 5 Greenest Snacks","12068","VIDEO-814","Eco-Friendly & Sustainable Living","11906","Editorial Assets"
"VIDEO-907","Green Travel Tips for Families","12069","VIDEO-814","Eco-Friendly & Sustainable Living","11906","Editorial Assets"
"VIDEO-909","About Me","12071","VIDEO-814","Eco-Friendly & Sustainable Living","11906","Editorial Assets"
"VIDEO-6587","Bacon Weaved Cheeseburger on a French Fry Bun","18772","","","",""
"VIDEO-6588","Cuts","18773","VIDEO-6587","Bacon Weaved Cheeseburger on a French Fry Bun","18772","Editorial Assets"
"VIDEO-6585","Plantain and Steak Tostones","18769","","","",""
"VIDEO-6586","Plantain and Steak Tostones Deliverables","18771","VIDEO-6585","Plantain and Steak Tostones","18769","Editorial Assets"
"VIDEO-6583","Essay Topics for High School","17959","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-6584","All Video Versions and Thumbnails","17960","VIDEO-6583","Essay Topics for High School","17959","Editorial Assets"
"VIDEO-6581","Debate Topics for High School","17957","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-6582","All Video Versions and Thumbnails","17958","VIDEO-6581","Debate Topics for High School","17957","Editorial Assets"
"VIDEO-6579","Bacon Cheeseburger Bombs","17954","","","",""
"VIDEO-6589","All Video Versions and Thumbnails","18774","VIDEO-6579","Bacon Cheeseburger Bombs","17954","Editorial Assets"
"VIDEO-6535","If You Give a Serial Killer a Steel Guitar","17759","","","","gh.issue.epic.desc"
"VIDEO-12315","If You Give a Serial Killer a Steel Guitar - Editorial Assets","24671","VIDEO-6535","If You Give a Serial Killer a Steel Guitar","17759","Editorial Assets"
"VIDEO-6275","6 Myths About Psoriasis","17489","","","","Use for videos to be published.  One video and one thumbnail per ticket."
