"jira_key","summary ","id","parent_key","parent_summary","parent_id","issue_type"
"VIDEO-8952","1920's Timeline","21138","","","",""
"VIDEO-8953","1920's Timeline","21139","VIDEO-8952","1920's Timeline","21138","Editorial Assets"
"VIDEO-827","Basic Kissing Technique","11919","","","",""
"VIDEO-1820","How to Kiss Dirty","13008","VIDEO-827","Basic Kissing Technique","11919","Editorial Assets"
"VIDEO-1821","How to Kiss with Tongue","13009","VIDEO-827","Basic Kissing Technique","11919","Editorial Assets"
"VIDEO-1822","Top  Kissing Tips","13010","VIDEO-827","Basic Kissing Technique","11919","Editorial Assets"
"VIDEO-1823","How to Make a Kiss Memorable","13011","VIDEO-827","Basic Kissing Technique","11919","Editorial Assets"
"VIDEO-1824","How to Fix a Bad Kisser","13012","VIDEO-827","Basic Kissing Technique","11919","Editorial Assets"
"VIDEO-1825","How to Get Someone to Kiss You","13013","VIDEO-827","Basic Kissing Technique","11919","Editorial Assets"
"VIDEO-1826","How to Kiss Without Tongue","13014","VIDEO-827","Basic Kissing Technique","11919","Editorial Assets"
"VIDEO-1827","How to Practice First Kiss Techniques","13015","VIDEO-827","Basic Kissing Technique","11919","Editorial Assets"
"VIDEO-1828","How to Kiss with Confidence","13016","VIDEO-827","Basic Kissing Technique","11919","Editorial Assets"
"VIDEO-1829","How to Kiss with Glasses","13017","VIDEO-827","Basic Kissing Technique","11919","Editorial Assets"
"VIDEO-1830","How to Kiss a Girl","13018","VIDEO-827","Basic Kissing Technique","11919","Editorial Assets"
"VIDEO-1831","How to Kiss during Spin the Bottle","13019","VIDEO-827","Basic Kissing Technique","11919","Editorial Assets"
"VIDEO-1832","How to Kiss a Girl's Neck","13020","VIDEO-827","Basic Kissing Technique","11919","Editorial Assets"
"VIDEO-1833","How to Whisper Kiss","13021","VIDEO-827","Basic Kissing Technique","11919","Editorial Assets"
"VIDEO-1834","How to Hold a Girl's Face when You Kiss","13022","VIDEO-827","Basic Kissing Technique","11919","Editorial Assets"
"VIDEO-1835","How to Stop Lipstick Coming Off during Kissing","13023","VIDEO-827","Basic Kissing Technique","11919","Editorial Assets"
"VIDEO-1836","How to Kiss on Your Wedding Day","13024","VIDEO-827","Basic Kissing Technique","11919","Editorial Assets"
"VIDEO-1837","How to Kiss to Turn a Guy On","13025","VIDEO-827","Basic Kissing Technique","11919","Editorial Assets"
"VIDEO-1838","How to Kiss His Ear","13026","VIDEO-827","Basic Kissing Technique","11919","Editorial Assets"
"VIDEO-1839","How to Handle Your First Kiss","13027","VIDEO-827","Basic Kissing Technique","11919","Editorial Assets"
"VIDEO-1840","How to Kiss Someone Out of the Blue","13028","VIDEO-827","Basic Kissing Technique","11919","Editorial Assets"
"VIDEO-1841","How to Kiss Nice and Long","13029","VIDEO-827","Basic Kissing Technique","11919","Editorial Assets"
"VIDEO-1842","How To Kiss Creatively","13030","VIDEO-827","Basic Kissing Technique","11919","Editorial Assets"
"VIDEO-1843","How to Kiss a Tall Guy or a Short Girl","13031","VIDEO-827","Basic Kissing Technique","11919","Editorial Assets"
"VIDEO-1844","How to Use Your Hands While Kissing","13032","VIDEO-827","Basic Kissing Technique","11919","Editorial Assets"
"VIDEO-1845","How to Take a Kissing Selfie","13033","VIDEO-827","Basic Kissing Technique","11919","Editorial Assets"
"VIDEO-1846","How to Kiss in Public","13034","VIDEO-827","Basic Kissing Technique","11919","Editorial Assets"
"VIDEO-1848","How to Play Suck and Blow","13036","VIDEO-827","Basic Kissing Technique","11919","Editorial Assets"
"VIDEO-1849","What Not to Eat Before Making Out","13037","VIDEO-827","Basic Kissing Technique","11919","Editorial Assets"
"VIDEO-1850","How to Kiss Like in ""The Notebook""","13038","VIDEO-827","Basic Kissing Technique","11919","Editorial Assets"
"VIDEO-1851","How to Kiss Like Spiderman","13039","VIDEO-827","Basic Kissing Technique","11919","Editorial Assets"
"VIDEO-1852","How to Kiss Like in ""The Sandlot""","13040","VIDEO-827","Basic Kissing Technique","11919","Editorial Assets"
"VIDEO-1891","CAM A","13079","VIDEO-827","Basic Kissing Technique","11919","Editorial Assets"
"VIDEO-1892","CAM A","13080","VIDEO-827","Basic Kissing Technique","11919","Editorial Assets"
